text,label
The mobile app is very slow,technical
how do i close my account Can you help? #5,account
Please help: the app crashes when i open it. #1,technical
Only part of my order arrived,delivery
"Hello, my account is locked. #3",account
Please help: please cancel and refund my order please #4,refund
I need to change my email address,account
Please help: two factor authentication is not working #6,account
Please help: i need a receipt for the purchase Can you help? #11,billing
"Hi support, my order is late Can you help? #2",delivery
My order was delivered to the wrong address,delivery
"Hi support, please reset my password. #2",account
"Hi support, the tracking link does not work Can you help? #3",delivery
"Hello, why did my monthly price increase as soon as possible #3",billing
Please help: can i exchange instead of returning as soon as possible #12,refund
My billing address is incorrect,billing
The page will not load,technical
Please help: the courier says delivery failed please #8,delivery
Please help: the mobile app is very slow #9,technical
I was charged twice for my subscription,billing
My invoice has the wrong amount,billing
"Hi support, please update my payment method please #4",billing
Please cancel and refund my order,refund
"Hi support, i changed my mind about the purchase #9",refund
I want a refund,refund
Urgent: my refund has not arrived. #2,refund
Notifications stopped working,technical
The parcel arrived damaged,delivery
Where can I download my invoice,billing
Urgent: please update my phone number Can you help? #9,account
My verification code never arrived,account
"Hello, search returns no results Can you help? #8",technical
"Hello, i want to reactivate my account Can you help? #11",account
"Hello, only part of my order arrived #7",delivery
"Hi support, the tracking status has not changed #12",delivery
"Hello, i forgot my username. #8",account
The download keeps failing,technical
"Hello, the page will not load Can you help? #3",technical
My order is late,delivery
Why did my monthly price increase,billing
Please help: the sign in page keeps rejecting me. #12,account
My refund has not arrived,refund
What is the return policy,refund
My return was rejected,refund
Someone accessed my profile,account
I need a receipt for the purchase,billing
i found a bug in checkout #10,technical
I cannot upload a file,technical
"Hi support, my invoice has the wrong amount #2",billing
"Hello, what is the return policy #7",refund
"Hello, send me a return label Can you help? #10",refund
Please update my phone number,account
"Hi support, i received the wrong item and want my money back #6",refund
"Hi support, i do not recognize this charge #6",billing
My package is missing,delivery
The payment is still pending,billing
my order was delivered to the wrong address. #5,delivery
Please help: the button does nothing when clicked Can you help? #12,technical
The button does nothing when clicked,technical
Urgent: notifications stopped working please #4,technical
"Hello, the download keeps failing. #11",technical
My account is locked,account
The tracking link does not work,delivery
Urgent: i want a refund. #1,refund
Please help: i need express shipping please #9,delivery
Two factor authentication is not working,account
Urgent: the latest update broke the app as soon as possible #5,technical
i need to change my email address Can you help? #4,account
Please update my payment method,billing
the coupon was not applied please #8,billing
Why was I charged after cancellation,billing
"Hi support, the website shows an error. #2",technical
Please reset my password,account
The courier says delivery failed,delivery
"Hi support, my billing address is incorrect Can you help? #9",billing
Can I exchange instead of returning,refund
I found a bug in checkout,technical
"Hi support, when will the item be dispatched. #11",delivery
The latest update broke the app,technical
why was i charged after cancellation as soon as possible #12,billing
my verification code never arrived Can you help? #10,account
Please help: i was charged twice for my subscription Can you help? #1,billing
"Hello, how do i return this item as soon as possible #3",refund
I changed my mind about the purchase,refund
Urgent: the product does not match the description. #5,refund
The coupon was not applied,billing
The product does not match the description,refund
someone accessed my profile #7,account
Send me a return label,refund
The sign in page keeps rejecting me,account
I need express shipping,delivery
"Hello, my card was declined. #5",billing
"Hi support, the refund amount is incorrect. #11",refund
The screen is blank,technical
I cannot log into my account,account
Can I change the delivery date,delivery
I want to reactivate my account,account
"Hello, the parcel arrived damaged #4",delivery
where can i download my invoice as soon as possible #7,billing
Urgent: i cannot upload a file as soon as possible #6,technical
"Hi support, the payment is still pending #10",billing
I received the wrong item and want my money back,refund
The website shows an error,technical
I do not recognize this charge,billing
The app crashes when I open it,technical
When will the item be dispatched,delivery
"Hi support, the screen is blank. #7",technical
I forgot my username,account
The refund amount is incorrect,refund
"Hi support, my return was rejected as soon as possible #8",refund
i cannot log into my account #1,account
Search returns no results,technical
The tracking status has not changed,delivery
My card was declined,billing
"Hello, my package is missing please #10",delivery
"Hi support, can i change the delivery date #6",delivery
How do I return this item,refund
Where is my package,delivery
where is my package Can you help? #1,delivery
How do I close my account,account
