text,label
Please help: please cancel and refund my order please #4,refund
"Hello, only part of my order arrived #7",delivery
My package is missing,delivery
Search returns no results,technical
The tracking link does not work,delivery
"Hi support, the refund amount is incorrect. #11",refund
I need express shipping,delivery
i cannot log into my account #1,account
Urgent: i want a refund. #1,refund
"Hi support, i do not recognize this charge #6",billing
Where can I download my invoice,billing
The website shows an error,technical
"Hi support, can i change the delivery date #6",delivery
"Hello, why did my monthly price increase as soon as possible #3",billing
I cannot upload a file,technical
Only part of my order arrived,delivery
I want to reactivate my account,account
someone accessed my profile #7,account
"Hello, my card was declined. #5",billing
Please cancel and refund my order,refund
Please help: the button does nothing when clicked Can you help? #12,technical
Urgent: please update my phone number Can you help? #9,account
"Hi support, please update my payment method please #4",billing
Notifications stopped working,technical
I found a bug in checkout,technical
"Hi support, my return was rejected as soon as possible #8",refund
The page will not load,technical
"Hello, my account is locked. #3",account
Urgent: i cannot upload a file as soon as possible #6,technical
My order was delivered to the wrong address,delivery
"Hello, search returns no results Can you help? #8",technical
What is the return policy,refund
Please help: the app crashes when i open it. #1,technical
"Hello, how do i return this item as soon as possible #3",refund
"Hello, the download keeps failing. #11",technical
The screen is blank,technical
Please update my payment method,billing
When will the item be dispatched,delivery
I need to change my email address,account
I want a refund,refund
The coupon was not applied,billing
Urgent: my refund has not arrived. #2,refund
"Hi support, the website shows an error. #2",technical
Please help: the sign in page keeps rejecting me. #12,account
"Hello, send me a return label Can you help? #10",refund
My refund has not arrived,refund
my verification code never arrived Can you help? #10,account
The button does nothing when clicked,technical
Why did my monthly price increase,billing
"Hello, the page will not load Can you help? #3",technical
My return was rejected,refund
Please reset my password,account
Why was I charged after cancellation,billing
I need a receipt for the purchase,billing
The parcel arrived damaged,delivery
Send me a return label,refund
Can I change the delivery date,delivery
Please help: the courier says delivery failed please #8,delivery
"Hi support, the screen is blank. #7",technical
The latest update broke the app,technical
I was charged twice for my subscription,billing
The sign in page keeps rejecting me,account
I do not recognize this charge,billing
I received the wrong item and want my money back,refund
Please help: i need express shipping please #9,delivery
The refund amount is incorrect,refund
"Hi support, the tracking status has not changed #12",delivery
Where is my package,delivery
"Hi support, please reset my password. #2",account
I forgot my username,account
My invoice has the wrong amount,billing
Please help: two factor authentication is not working #6,account
Please update my phone number,account
"Hello, i forgot my username. #8",account
how do i close my account Can you help? #5,account
The tracking status has not changed,delivery
How do I return this item,refund
Please help: i was charged twice for my subscription Can you help? #1,billing
my order was delivered to the wrong address. #5,delivery
where is my package Can you help? #1,delivery
Urgent: the product does not match the description. #5,refund
Please help: i need a receipt for the purchase Can you help? #11,billing
"Hi support, the tracking link does not work Can you help? #3",delivery
My billing address is incorrect,billing
the coupon was not applied please #8,billing
My account is locked,account
I changed my mind about the purchase,refund
Please help: the mobile app is very slow #9,technical
Two factor authentication is not working,account
where can i download my invoice as soon as possible #7,billing
